Entry	Gene ontology (GO)	yourlist:M20170516A7434721E10EE6586998A056CCD0537EB52514A
P25116	caveola [GO:0005901]; cell surface [GO:0009986]; early endosome [GO:0005769]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; late endosome [GO:0005770]; neuromuscular junction [GO:0031594]; plasma membrane [GO:0005886]; platelet dense tubular network [GO:0031094]; postsynaptic membrane [GO:0045211]; G-protein alpha-subunit binding [GO:0001965]; G-protein beta-subunit binding [GO:0031681]; G-protein coupled receptor activity [GO:0004930]; receptor binding [GO:0005102]; thrombin-activated receptor activity [GO:0015057]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; activation of MAPKK activity [GO:0000186]; anatomical structure morphogenesis [GO:0009653]; blood coagulation [GO:0007596]; connective tissue replacement involved in inflammatory response wound healing [GO:0002248]; establishment of synaptic specificity at neuromuscular junction [GO:0007529]; G-protein coupled receptor signaling pathway [GO:0007186]; homeostasis of number of cells within a tissue [GO:0048873]; inflammatory response [GO:0006954]; negative regulation of cell proliferation [GO:0008285]; negative regulation of glomerular filtration [GO:0003105]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of renin secretion into blood stream [GO:1900134]; phospholipase C-activating G-protein coupled receptor signaling pathway [GO:0007200]; platelet activation [GO:0030168]; platelet dense granule organization [GO:0060155]; positive regulation of blood coagulation [GO:0030194]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of cell migration [GO:0030335]; positive regulation of cell proliferation [GO:0008284]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway [GO:0051482]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of interleukin-6 secretion [GO:2000778]; positive regulation of interleukin-8 secretion [GO:2000484]; positive regulation of JAK-STAT cascade [GO:0046427]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of release of sequestered calcium ion into cytosol [GO:0051281]; positive regulation of Rho protein signal transduction [GO:0035025]; positive regulation of smooth muscle contraction [GO:0045987]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of vasoconstriction [GO:0045907]; protein kinase C-activating G-protein coupled receptor signaling pathway [GO:0007205]; regulation of blood coagulation [GO:0030193]; regulation of interleukin-1 beta production [GO:0032651]; regulation of sensory perception of pain [GO:0051930]; release of sequestered calcium ion into cytosol [GO:0051209]; response to lipopolysaccharide [GO:0032496]; response to wounding [GO:0009611]; STAT protein import into nucleus [GO:0007262]; trans-synaptic signaling by endocannabinoid, modulating synaptic transmission [GO:0099553]; tyrosine phosphorylation of STAT protein [GO:0007260]	P25116
P06454	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; activating transcription factor binding [GO:0033613]; transcription, DNA-templated [GO:0006351]	P06454
Q8TB72	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nuclear membrane [GO:0031965]; perinuclear region of cytoplasm [GO:0048471]; mRNA 3'-UTR binding [GO:0003730]; RNA binding [GO:0003723]; positive regulation of gene silencing by miRNA [GO:2000637]; positive regulation of RIG-I signaling pathway [GO:1900246]; posttranscriptional regulation of gene expression [GO:0010608]; regulation of chromosome segregation [GO:0051983]; regulation of gene silencing by miRNA [GO:0060964]; regulation of mRNA stability [GO:0043488]; stress granule assembly [GO:0034063]	Q8TB72
P00491	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; intracellular [GO:0005622]; nucleus [GO:0005634]; secretory granule lumen [GO:0034774]; drug binding [GO:0008144]; nucleoside binding [GO:0001882]; phosphate ion binding [GO:0042301]; purine nucleobase binding [GO:0002060]; purine-nucleoside phosphorylase activity [GO:0004731]; immune response [GO:0006955]; inosine catabolic process [GO:0006148]; interleukin-2 secretion [GO:0070970]; NAD biosynthesis via nicotinamide riboside salvage pathway [GO:0034356]; neutrophil degranulation [GO:0043312]; nicotinamide riboside catabolic process [GO:0006738]; nucleobase-containing compound metabolic process [GO:0006139]; positive regulation of alpha-beta T cell differentiation [GO:0046638]; positive regulation of T cell proliferation [GO:0042102]; purine nucleotide catabolic process [GO:0006195]; purine-containing compound salvage [GO:0043101]; response to drug [GO:0042493]; urate biosynthetic process [GO:0034418]	P00491
A6NMY6	basement membrane [GO:0005604]; extracellular exosome [GO:0070062]; melanosome [GO:0042470]; calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; cytoskeletal protein binding [GO:0008092]; phospholipase inhibitor activity [GO:0004859]	A6NMY6
A8MPP1	nucleolus [GO:0005730]; ATP binding [GO:0005524]; ATP-dependent DNA helicase activity [GO:0004003]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; nucleobase-containing compound metabolic process [GO:0006139]	A8MPP1
B8ZZ34	AMPA glutamate receptor complex [GO:0032281]; synapse [GO:0045202]; regulation of short-term neuronal synaptic plasticity [GO:0048172]	B8ZZ34
Q9HD87	integral component of membrane [GO:0016021]	Q9HD87
P11177	extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; pyruvate dehydrogenase complex [GO:0045254]; pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]; pyruvate dehydrogenase activity [GO:0004738]; acetyl-CoA biosynthetic process from pyruvate [GO:0006086]; glucose metabolic process [GO:0006006]; glyoxylate metabolic process [GO:0046487]; mitochondrial acetyl-CoA biosynthetic process from pyruvate [GO:0061732]; pyruvate metabolic process [GO:0006090]; regulation of acetyl-CoA biosynthetic process from pyruvate [GO:0010510]; tricarboxylic acid cycle [GO:0006099]	P11177
P14618	cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular vesicle [GO:1903561]; ficolin-1-rich granule lumen [GO:1904813]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]; nucleus [GO:0005634]; secretory granule lumen [GO:0034774]; vesicle [GO:0031982]; ATP binding [GO:0005524]; cadherin binding [GO:0045296]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; MHC class II protein complex binding [GO:0023026]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]; RNA binding [GO:0003723]; canonical glycolysis [GO:0061621]; cellular response to insulin stimulus [GO:0032869]; neutrophil degranulation [GO:0043312]; programmed cell death [GO:0012501]	P14618
P50395	azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; myelin sheath [GO:0043209]; secretory granule lumen [GO:0034774]; vesicle [GO:0031982]; GTPase activator activity [GO:0005096]; oxidoreductase activity [GO:0016491]; Rab GDP-dissociation inhibitor activity [GO:0005093]; RNA binding [GO:0003723]; small GTPase binding [GO:0031267]; membrane organization [GO:0061024]; neutrophil degranulation [GO:0043312]; protein transport [GO:0015031]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]; small GTPase mediated signal transduction [GO:0007264]	P50395
Q9BXF6	early endosome [GO:0005769]; early endosome membrane [GO:0031901]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; microtubule organizing center [GO:0005815]; mitochondrial outer membrane [GO:0005741]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]; secretory granule [GO:0030141]; transport vesicle membrane [GO:0030658]; gamma-tubulin binding [GO:0043015]; Rab GTPase binding [GO:0017137]; cellular response to acidic pH [GO:0071468]; insulin secretion involved in cellular response to glucose stimulus [GO:0035773]; negative regulation of adiponectin secretion [GO:0070164]; regulated exocytosis [GO:0045055]; regulation of protein localization to cell surface [GO:2000008]	Q9BXF6
Q9UJ41	cytosol [GO:0005829]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; nucleolus [GO:0005730]; recycling endosome [GO:0055037]; DNA binding [GO:0003677]; Rab GTPase binding [GO:0017137]; Rab guanyl-nucleotide exchange factor activity [GO:0017112]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; endocytosis [GO:0006897]; membrane organization [GO:0061024]; negative regulation of inflammatory response [GO:0050728]; negative regulation of interleukin-6 secretion [GO:1900165]; negative regulation of Kit signaling pathway [GO:1900235]; negative regulation of leukocyte migration [GO:0002686]; negative regulation of mast cell degranulation [GO:0043305]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of Ras protein signal transduction [GO:0046580]; negative regulation of receptor-mediated endocytosis [GO:0048261]; protein targeting to membrane [GO:0006612]; regulation of Fc receptor mediated stimulatory signaling pathway [GO:0060368]	Q9UJ41
P35241	apical plasma membrane [GO:0016324]; cell periphery [GO:0071944]; cell tip [GO:0051286]; cell-cell adherens junction [GO:0005913]; cleavage furrow [GO:0032154]; cortical actin cytoskeleton [GO:0030864]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; extrinsic component of membrane [GO:0019898]; filopodium [GO:0030175]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; microvillus [GO:0005902]; midbody [GO:0030496]; myelin sheath [GO:0043209]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; stereocilium [GO:0032420]; T-tubule [GO:0030315]; actin binding [GO:0003779]; ATPase binding [GO:0051117]; cadherin binding [GO:0045296]; protein domain specific binding [GO:0019904]; protein homodimerization activity [GO:0042803]; protein kinase A binding [GO:0051018]; RNA binding [GO:0003723]; apical protein localization [GO:0045176]; barbed-end actin filament capping [GO:0051016]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; cellular response to thyroid hormone stimulus [GO:0097067]; establishment of endothelial barrier [GO:0061028]; establishment of protein localization [GO:0045184]; establishment of protein localization to plasma membrane [GO:0090002]; microvillus assembly [GO:0030033]; negative regulation of adherens junction organization [GO:1903392]; negative regulation of cell size [GO:0045792]; negative regulation of GTPase activity [GO:0034260]; negative regulation of homotypic cell-cell adhesion [GO:0034111]; positive regulation of cell migration [GO:0030335]; positive regulation of cellular protein catabolic process [GO:1903364]; positive regulation of early endosome to late endosome transport [GO:2000643]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of gene expression [GO:0010628]; positive regulation of protein localization to early endosome [GO:1902966]; protein kinase A signaling [GO:0010737]; regulation of actin filament bundle assembly [GO:0032231]; regulation of cell shape [GO:0008360]; regulation of cell size [GO:0008361]; regulation of GTPase activity [GO:0043087]; regulation of organelle assembly [GO:1902115]; regulation of Rap protein signal transduction [GO:0032487]; regulation of ruffle assembly [GO:1900027]	P35241
Q6IAA8	azurophil granule membrane [GO:0035577]; extracellular exosome [GO:0070062]; ficolin-1-rich granule membrane [GO:0101003]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; Ragulator complex [GO:0071986]; specific granule membrane [GO:0035579]; GTPase binding [GO:0051020]; cell cycle arrest [GO:0007050]; cell growth [GO:0016049]; cellular protein localization [GO:0034613]; cellular response to amino acid stimulus [GO:0071230]; cholesterol homeostasis [GO:0042632]; endosome localization [GO:0032439]; endosome organization [GO:0007032]; lysosome localization [GO:0032418]; lysosome organization [GO:0007040]; macroautophagy [GO:0016236]; neutrophil degranulation [GO:0043312]; positive regulation of GTPase activity [GO:0043547]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of TOR signaling [GO:0032008]; regulation of cholesterol efflux [GO:0010874]; regulation of cholesterol esterification [GO:0010872]; regulation of cholesterol import [GO:0060620]; regulation of receptor recycling [GO:0001919]	Q6IAA8
Q6GYQ0	cytoplasm [GO:0005737]; nucleus [GO:0005634]; GTPase activator activity [GO:0005096]; protein heterodimerization activity [GO:0046982]; activation of GTPase activity [GO:0090630]; regulation of small GTPase mediated signal transduction [GO:0051056]	Q6GYQ0
P46060	aggresome [GO:0016235]; axon cytoplasm [GO:1904115]; condensed chromosome kinetochore [GO:0000777]; cytoplasm [GO:0005737]; cytoplasmic periphery of the nuclear pore complex [GO:1990723]; cytosol [GO:0005829]; dendrite [GO:0030425]; intracellular membrane-bounded organelle [GO:0043231]; mitotic spindle [GO:0072686]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore cytoplasmic filaments [GO:0044614]; spindle pole [GO:0000922]; cadherin binding [GO:0045296]; GTPase activator activity [GO:0005096]; Ran GTPase binding [GO:0008536]; ubiquitin protein ligase binding [GO:0031625]; cellular response to vasopressin [GO:1904117]; negative regulation of protein export from nucleus [GO:0046826]; protein sumoylation [GO:0016925]; response to axon injury [GO:0048678]; signal transduction [GO:0007165]; sister chromatid cohesion [GO:0007062]	P46060
